age_range,industry,job_title,annual_salary,"How much additional monetary compensation do you get, if any (for example, bonuses or overtime in an average year)? Please only include monetary compensation here, not the value of benefits.",currency,"If ""Other,"" please indicate the currency here: ",country,"If you're in the U.S., what state do you work in?",What city do you work in?,current_years_experience,How many years of professional work experience do you have in your field?,education,gender,What is your race? (Choose all that apply.)
25-34,Education,Other,70000,0.0,USD,,United States,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofit,Manager (General),84000,8400.0,USD,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Health,Manager (General),53000,0.0,USD,,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Information Technology,Other,34000,2000.0,USD,,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
25-34,Nonprofit,Coordinator,38000,,USD,,United States,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Government,Other,87000,0.0,USD,,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
35-44,Engineering/Manufacturing,Engineer (Non-software),122000,3600.0,USD,,United States,,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Insurance,Analyst (General),45000,2000.0,GBP,,United Kingdom,,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Coordinator,45000,,USD,,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
35-44,Information Technology,Writer/Editor,88000,,USD,,United States,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Nonprofit,Other,71000,0.0,USD,,United States,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Project Manager,71000,,USD,,United States,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
35-44,Education,Teacher,75000,0.0,USD,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Manager (General),80000,0.0,USD,,United States,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Information Technology,Analyst (General),125000,,USD,,United States,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Other,65000,,USD,,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Teacher,36000,,GBP,,United Kingdom,,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Nonprofit,Graphic Designer,55000,,USD,,United States,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Arts/Design,UX/UI Designer,90000,1000.0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Engineering/Manufacturing,Engineer (Non-software),105000,13000.0,USD,,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
35-44,Nonprofit,Other,60000,0.0,CAD,,Canada,,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
35-44,Education,Other,65000,0.0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting,Project Manager,85000,8500.0,USD,,United States,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Retail/Sales,Other,39520,,USD,,United States,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White
45-54,Information Technology,Director,115000,,CAD,,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
25-34,Energy,Analyst (General),76000,0.0,USD,,United States,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
55-64,Business/Consulting,VP/Senior Leadership,180000,60000.0,USD,,United States,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Finance,Manager (General),90000,0.0,USD,,United States,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Government,Other,19300,0.0,GBP,,United Kingdom,,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
55-64,Business/Consulting,Administrative Assistant,65000,5000.0,USD,,United States,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
45-54,Information Technology,Other,98166,0.0,USD,,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Education,Director,63500,,USD,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
25-34,Nonprofit,Administrative Assistant,47700,2000.0,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
55-64,Information Technology,Engineer (Non-software),87000,8000.0,USD,,United States,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
35-44,Media/Entertainment,Other,48000,,CAD,,Canada,,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education,Other,39635,305.0,USD,,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Government,Other,53000,,USD,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
45-54,Education,Other,47255,0.0,USD,,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
35-44,Real Estate,Project Manager,196000,10000.0,USD,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Health,Customer Service,34361,0.0,USD,,United States,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Engineering/Manufacturing,Engineer (Non-software),150000,20000.0,USD,,United States,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Health,Graphic Designer,75000,0.0,USD,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
35-44,Education,Other,20000,,USD,,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Information Technology,Financial Analyst,107220,16083.0,USD,,United States,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
35-44,Government,Manager (General),78000,,CAD,,Canada,,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
45-54,Education,Professor/Faculty,95000,10000.0,USD,,United States,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
45-54,Retail/Sales,Office Manager,42000,,USD,,United States,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Finance,Manager (General),100000,5000.0,USD,,United States,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Information Technology,Software Engineer,50000,,GBP,,United Kingdom,,Nottingham,5-7 years,2 - 4 years,High School,Man,White
35-44,Education,Director,119000,2500.0,USD,,United States,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Finance,Other,66000,5000.0,GBP,,United Kingdom,,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Transportation,Project Manager,60000,3000.0,EUR,,Netherlands,,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Education,Director,75000,,USD,,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Professor/Faculty,145000,15000.0,USD,,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Finance,Other,95000,10000.0,CAD,,Canada,,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Marketing,Content/Copywriter,48000,2000.0,USD,,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Finance,Director,75000,10000.0,USD,,United States,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Media/Entertainment,Other,42000,0.0,USD,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofit,Other,54000,100.0,USD,,United States,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Professor/Faculty,92000,,CAD,,Canada,,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
45-54,Government,Other,50870,0.0,GBP,,United Kingdom,,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
55-64,Health,Supervisor,60000,500.0,USD,,United States,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
55-64,Nonprofit,Manager (General),101500,0.0,USD,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Education,Other,36883,150.0,USD,,United States,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Media/Entertainment,Writer/Editor,85000,0.0,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Administrative Assistant,62000,0.0,USD,,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
35-44,Information Technology,Product Manager,130000,0.0,USD,,United States,,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Education,Other,55000,,USD,,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Government,Coordinator,59015,,USD,,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Business/Consulting,Manager (General),71000,3000.0,USD,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
45-54,Other,Director,53000,,USD,,United States,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Other,Librarian,63000,0.0,USD,,United States,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing,Other,95000,5000.0,USD,,United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Other,Manager (General),85000,0.0,AUD/NZD,,Australia,,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
35-44,Nonprofit,Other,35000,3000.0,USD,,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
18-24,Health,Customer Service,33280,500.0,USD,,United States,Florida,"Small city, remote, national company",5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Finance,Manager (General),56000,2500.0,USD,,United States,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White
35-44,Education,Director,85000,,USD,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Writer/Editor,62000,0.0,USD,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Other,74000,,USD,,United States,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofit,Other,63000,1000.0,USD,,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Other,Other,45000,10000.0,GBP,,United Kingdom,,London,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Teacher,18000,0.0,EUR,,Other,,,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Nonprofit,Manager (General),86000,6000.0,USD,,United States,,New York ,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,Other,Other,19000,0.0,GBP,,United Kingdom,,Cambridge,2 - 4 years,1 year or less,Master's degree,Man,White
35-44,Education,Other,42000,,USD,,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
55-64,Biotech,Manager (General),114000,30000.0,USD,,United States,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
45-54,Insurance,Customer Service,73000,0.0,USD,,United States,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
35-44,Nonprofit,Manager (General),54000,0.0,GBP,,United Kingdom,,London,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Health,Analyst (General),100000,0.0,USD,,United States,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Media/Entertainment,Writer/Editor,27000,,GBP,,United Kingdom,,Oxford,11 - 20 years,5-7 years,College degree,Woman,White
18-24,Government,Analyst (General),60129,3000.0,USD,,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White
45-54,Other,Other,135000,0.0,USD,,United States,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Information Technology,Other,130000,,USD,,United States,Virginia,McLean,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Other,Librarian,26000,,USD,,United States,Oklahoma,Ardmore,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
25-34,Finance,Accountant,60000,0.0,USD,,United States,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Nonprofit,Administrative Assistant,37000,0.0,USD,,United States,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Engineering/Manufacturing,UX/UI Designer,85000,3000.0,USD,,United States,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White
35-44,Media/Entertainment,Writer/Editor,45000,20000.0,USD,,United States,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofit,Director,92000,0.0,USD,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing,Other,65000,4000.0,USD,,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White
35-44,Marketing,Graphic Designer,35000,0.0,USD,,United States,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Finance,Other,74000,1000.0,USD,,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Director,102500,20000.0,USD,,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Government,Analyst (General),117500,1500.0,USD,,United States,,Washington DC,8 - 10 years,5-7 years,Master's degree,Not Specified,"Hispanic, Latino, or Spanish origin"
35-44,Nonprofit,Coordinator,70000,,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Information Technology,Manager (General),140000,5000.0,USD,,United States,Colorado,Denver,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Other,Other,58000,4000.0,USD,,United States,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Marketing,Consultant,400000,0.0,USD,,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofit,Director,61200,0.0,USD,,United States,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Marketing,Director,85000,10000.0,GBP,,United Kingdom,,London ,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Other,Other,66000,0.0,USD,,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Information Technology,Other,70000,0.0,USD,,United States,Texas,Austin,8 - 10 years,5-7 years,College degree,Woman,Black or African American
25-34,Education,Other,52000,,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
45-54,Real Estate,Manager (General),75500,5000.0,USD,,United States,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman,White
25-34,Marketing,Writer/Editor,57000,0.0,USD,,United States,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Nonprofit,Other,83200,,USD,,United States,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Marketing,Manager (General),77500,,USD,,United States,New York,New York City ,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
35-44,Retail/Sales,Other,31200,,USD,,United States,Florida,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White
25-34,Health,Other,31000,1000.0,GBP,,United Kingdom,,Brighton,2 - 4 years,1 year or less,Master's degree,Woman,White
35-44,Marketing,Director,215000,10000.0,USD,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Education,Other,55000,2500.0,USD,,United States,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man,White
45-54,Legal,Other,220000,0.0,USD,,United States,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
25-34,Retail/Sales,Other,100000,,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Information Technology,IT/Systems,80000,,USD,,United States,,Portland,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,Director,63000,2000.0,USD,,United States,Texas,El Paso,11 - 20 years,8 - 10 years,Not Specified,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Librarian,52500,,USD,,United States,North Carolina,Research Triangle region,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Media/Entertainment,UX/UI Designer,36000,0.0,EUR,,France,,Lyon,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Finance,Other,94000,,USD,,United States,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering/Manufacturing,Engineer (Non-software),57000,0.0,USD,,United States,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White
35-44,Information Technology,Writer/Editor,83000,8000.0,USD,,United States,California,San Diego,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Nonprofit,Director,90000,0.0,USD,,United States,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Health,Sales Manager,66950,0.0,USD,,United States,Indiana,Indianapolis,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Government,Other,76000,0.0,USD,,United States,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Engineering/Manufacturing,Engineer (Non-software),52000,6000.0,GBP,,United Kingdom,,Aberdeen,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofit,Project Manager,70000,5000.0,USD,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Education,Professor/Faculty,60000,2500.0,USD,,United States,,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary,White
35-44,Engineering/Manufacturing,Other,80000,0.0,USD,,United States,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofit,Other,70000,0.0,USD,,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Other,34299,,USD,,United States,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
